A(X);B(X)
0.14286;121.97107
0.28571;112.88657
0.42857;111.93982
0.57143;119.26736
0.71429;115.74769
0.85714;115.07176
1;112.30208
1.14286;112.82986
1.28571;112.57755
1.42857;108.84838
1.57143;107.15394
1.71429;105.91204
1.85714;108.51736
2;104.59491
2.14286;104.76852
2.28571;103.51273
2.42857;108.37384
2.57143;105.04745
2.71429;106.64005
2.85714;103.88889
3;103.71528
3.14286;104.35069
3.28571;102.35532
3.42857;105.45833
3.57143;103.42361
3.71429;105.32523
3.85714;104.82986
4;103.40972
4.14286;103.88079
4.28571;101.34607
4.42857;103.63079
4.57143;108.02199
4.71429;104.96181
4.85714;102.74653
5;102.65278
5.14286;103.71412
5.28571;102.87616
5.42857;105.34028
5.57143;101.05787
5.71429;100.84259
5.85714;104.41435
6;101.54977
6.14286;100.12616
6.28571;102.19329
6.42857;104.28125
6.57143;104.68634
6.71429;101.54282
6.85714;102.74653
7;102.82407
7.14286;102.25926
7.28571;103.47222
7.42857;103.18982
7.57143;103.35417
7.71429;100.67708
7.85714;101.93171
8;101.90625
8.14286;104.24421
8.28571;102.8831
8.42857;99.91551
8.57143;101.09028
8.71429;102.57986
8.85714;103.35301
9;103.59954
9.14286;104.83681
9.28571;104.65972
9.42857;105.02431
9.57143;112.17361
9.71429;128.68056
9.85714;129.9537
10;126.61921
10.14286;126.65741
10.28571;120.46528
10.42857;113.98148
10.57143;116.79861
10.71429;112.71412
10.85714;111.6956
11;115.77546
11.14286;114.11806
11.28571;111.02778
11.42857;109.6331
11.57143;111.28819
11.71429;114.47801
11.85714;112.82639
12;118.19676
12.14286;111.79514
12.28571;105.81944
12.42857;107.27546
12.57143;107.54167
12.71429;110.2581
12.85714;108.99306
13;106.17245
13.14286;103.85417
13.28571;108.625
13.42857;106.38657
13.57143;106.17477
13.71429;105.23032
13.85714;105.36921
14;105.05324
14.14286;105.42014
14.28571;108.16898
14.42857;105.51042
14.57143;103.56944
14.71429;103.82523
14.85714;102.52315
15;103.0625
15.14286;104.46991
15.28571;101.82523
15.42857;102.92824
15.57143;104.55208
15.71429;103.96412
15.85714;102.07292
16;105.02893
16.14286;102.38657
16.28571;105.1713
16.42857;102.34028
16.57143;101.77083
16.71429;100.20949
16.85714;102.95486
17;104.22917
17.14286;104.17824
17.28571;102.68287
17.42857;103.06482
17.57143;99.92708
17.71429;102.68634
17.85714;105.50463
18;101.97685
18.14286;100.89815
18.28571;102.57407
18.42857;103.03009
18.57143;99.83102
18.71429;102.0162
18.85714;103.00579
19;101.8831
19.14286;120.43866
19.28571;125.82523
19.42857;127.12963
19.57143;126.91551
19.71429;123.2581
19.85714;113.95833
20;111.36227
20.14286;118.60995
20.28571;112.68519
20.42857;116.625
20.57143;109.31019
20.71429;117.92824
20.85714;109.85995
21;109.85301
21.14286;108.39583
21.28571;106.01389
21.42857;107.30671
21.57143;107.51273
21.71429;110.42014
