,A(x),B(Y)
,-105,"-3,70E-07"
,"-104,998","-4,00E-07"
,"-104,996","4,62E-06"
,"-104,994","6,72E-06"
,"-104,992","6,85E-06"
,"-104,99","3,45E-06"
,"-104,988","3,62E-06"
,"-104,986","1,55E-06"
,"-104,984","8,80E-07"
,"-104,982","2,14E-06"
,"-104,98","3,47E-06"
,"-104,978","2,00E-08"
,"-104,976","2,27E-06"
,"-104,974","5,81E-06"
,"-104,972","6,06E-06"
,"-104,97","1,80E-06"
,"-104,968","-7,10E-07"
,"-104,966","-5,60E-07"
,"-104,964","3,10E-07"
,"-104,962","4,00E-08"
,"-104,96","2,08E-06"
,"-104,958","2,71E-06"
,"-104,956","-3,35E-06"
,"-104,954","3,36E-06"
,"-104,952","7,30E-07"
,"-104,95","2,33E-06"
,"-104,948","9,80E-07"
,"-104,946","4,80E-07"
,"-104,944","-7,20E-07"
,"-104,942","9,10E-07"
,"-104,94","9,10E-07"
,"-104,938","1,72E-06"
,"-104,936","5,20E-07"
,"-104,934","4,96E-06"
,"-104,932","4,51E-06"
,"-104,93","3,01E-06"
,"-104,928","2,44E-06"
,"-104,926","1,63E-06"
,"-104,924","3,66E-06"
,"-104,922","3,48E-06"
,"-104,92","6,94E-06"
,"-104,918","7,21E-06"
,"-104,916","6,97E-06"
,"-104,914","7,70E-06"
,"-104,912","4,92E-06"
,"-104,91","3,42E-06"
,"-104,908","4,51E-06"
,"-104,906","1,65E-06"
,"-104,904","1,83E-06"
,"-104,902","2,19E-06"
,"-104,9","2,00E-07"
,"-104,898","4,42E-06"
,"-104,896","2,45E-06"
,"-104,894","4,97E-06"
,"-104,892","3,09E-06"
,"-104,89","3,56E-06"
,"-104,888","1,48E-06"
,"-104,886","-3,76E-06"
,"-104,884","-2,51E-06"
,"-104,882","-1,73E-06"
,"-104,88","-3,60E-07"
,"-104,878","3,44E-06"
,"-104,876","3,80E-06"
,"-104,874","5,52E-06"
,"-104,872","4,81E-06"
,"-104,87","1,01E-06"
,"-104,868","-1,51E-06"
,"-104,866","-1,63E-06"
,"-104,864","8,80E-07"
,"-104,862","-9,70E-07"
,"-104,86","6,20E-07"
,"-104,858","2,81E-06"
,"-104,856","6,16E-06"
,"-104,854","4,91E-06"
,"-104,852","5,10E-06"
,"-104,85","-1,29E-06"
,"-104,848","-5,90E-07"
,"-104,846","-2,68E-06"
,"-104,844","-2,03E-06"
,"-104,842","2,10E-07"
,"-104,84","-1,08E-06"
,"-104,838","-5,00E-08"
,"-104,836","1,55E-06"
,"-104,834","1,55E-06"
,"-104,832","1,33E-06"
,"-104,83","2,38E-06"
,"-104,828","2,49E-06"
,"-104,826","-4,07E-06"
,"-104,824","8,80E-07"
,"-104,822","-1,40E-06"
,"-104,82","-6,80E-07"
,"-104,818","-3,11E-06"
,"-104,816","5,04E-06"
,"-104,814","2,81E-06"
,"-104,812","5,90E-06"
,"-104,81","3,35E-06"
,"-104,808","2,22E-06"
,"-104,806","3,28E-06"
,"-104,804","-3,03E-06"
,"-104,802","4,42E-06"
,"-104,8","2,51E-06"
,"-104,798","4,95E-06"
,"-104,796","4,32E-06"
,"-104,794","5,30E-06"
,"-104,792","8,68E-06"
,"-104,79","5,71E-06"
,"-104,788","4,81E-06"
,"-104,786","1,59E-06"
,"-104,784","1,05E-06"
,"-104,782","-1,50E-07"
,"-104,78","4,02E-06"
,"-104,778","3,81E-06"
,"-104,776","2,70E-06"
,"-104,774","4,00E-06"
,"-104,772","2,40E-06"
,"-104,77","2,78E-06"
,"-104,768","1,81E-06"
,"-104,766","4,67E-06"
,"-104,764","-8,70E-07"
,"-104,762","-2,61E-06"
,"-104,76","1,84E-06"
,"-104,758","3,57E-06"
,"-104,756","2,17E-06"
,"-104,754","-5,10E-07"
,"-104,752","1,84E-06"
,"-104,75","-1,87E-06"
,"-104,748","6,00E-08"
,"-104,746","-1,98E-06"
,"-104,744","-2,84E-06"
,"-104,742","-5,08E-06"
,"-104,74","4,70E-07"
,"-104,738","7,80E-07"
,"-104,736","1,88E-06"
,"-104,734","4,57E-06"
,"-104,732","3,77E-06"
,"-104,73","1,60E-06"
