A(X);B(Y)
0;-2.41E-06
0.002;-2.13E-06
0.004;-2.68E-06
0.006;-2.99E-06
0.008;-3.78E-06
0.01;-8.30E-07
0.012;8.70E-07
0.014;1.13E-06
0.016;-1.40E-07
0.018;-3.80E-07
0.02;-2.97E-06
0.022;-3.61E-06
0.024;-9.87E-06
0.026;-5.08E-06
0.028;-8.40E-07
0.03;-1.66E-06
0.032;5.30E-07
0.034;-1.54E-06
0.036;-2.54E-06
0.038;-8.40E-07
0.04;-3.66E-06
0.042;-3.62E-06
0.044;-2.73E-06
0.046;-1.42E-06
0.048;-3.15E-06
0.05;-2.39E-06
0.052;-2.97E-06
0.054;-1.55E-06
0.056;-3.55E-06
0.058;-2.15E-06
0.06;-1.08E-06
0.062;-5.90E-06
0.064;-5.03E-06
0.066;-9.04E-06
0.068;-7.51E-06
0.07;-6.00E-06
0.072;-4.01E-06
0.074;-3.37E-06
0.076;-3.38E-06
0.078;-1.75E-06
0.08;-2.56E-06
0.082;-5.16E-06
0.084;-3.51E-06
0.086;-6.74E-06
0.088;-5.11E-06
0.09;-1.33E-06
0.092;-2.56E-06
0.094;-2.34E-06
0.096;-1.72E-06
0.098;-3.65E-06
0.1;-1.37E-06
0.102;-7.17E-06
0.104;-4.05E-06
0.106;-5.11E-06
0.108;-4.80E-07
0.11;-3.60E-07
0.112;-2.19E-06
0.114;6.90E-07
0.116;-1.30E-06
0.118;1.00E-08
0.12;-3.89E-06
0.122;-2.66E-06
0.124;-5.13E-06
0.126;-1.53E-06
0.128;-3.19E-06
0.13;-4.31E-06
0.132;-2.03E-06
0.134;-3.21E-06
0.136;-1.48E-06
0.138;-2.07E-06
0.14;-6.24E-06
0.142;-5.23E-06
0.144;-6.47E-06
0.146;-4.94E-06
0.148;-4.41E-06
0.15;-5.67E-06
0.152;-1.70E-06
0.154;6.80E-07
0.156;-1.27E-06
0.158;-3.80E-06
0.16;-7.24E-06
0.162;-8.97E-06
0.164;-4.90E-06
0.166;-5.51E-06
0.168;-3.78E-06
0.17;-3.42E-06
0.172;-1.87E-06
0.174;-4.70E-07
0.176;-8.89E-06
0.178;-3.70E-06
0.18;-3.15E-06
0.182;-3.44E-06
0.184;-2.05E-06
0.186;1.40E-06
0.188;-1.94E-06
0.19;-1.04E-06
0.192;-5.10E-07
0.194;-1.46E-06
0.196;-1.70E-06
0.198;1.52E-06
0.2;1.35E-06
0.202;5.00E-07
0.204;4.50E-07
0.206;-1.44E-06
0.208;-1.19E-06
0.21;-5.00E-07
0.212;-2.00E-07
0.214;7.20E-07
0.216;2.26E-06
0.218;1.39E-06
0.22;-2.28E-06
0.222;-1.00E-08
0.224;2.00E-06
0.226;-1.58E-06
0.228;-7.90E-07
0.23;8.20E-07
0.232;6.50E-06
0.234;1.74E-06
0.236;3.57E-06
0.238;-3.22E-06
0.24;4.90E-07
0.242;-8.60E-07
0.244;-5.89E-06
0.246;-2.46E-06
0.248;-5.56E-06
0.25;-2.64E-06
0.252;-1.30E-07
0.254;8.50E-07
0.256;-1.35E-06
0.258;-1.71E-06
0.26;-1.89E-06
0.262;-4.71E-06
0.264;-6.60E-06
0.266;-8.55E-06
0.268;-7.51E-06
0.27;-3.82E-06
0.272;-1.56E-06
0.274;-2.91E-06
0.276;4.80E-07
0.278;5.10E-07
0.28;-1.52E-06
0.282;-1.77E-06
0.284;-5.85E-06
0.286;-3.50E-06
0.288;-2.74E-06
0.29;-1.23E-06
0.292;-1.06E-06
0.294;1.33E-06
0.296;3.90E-06
0.298;-4.00E-07
0.3;1.18E-06
0.302;-3.54E-06
0.304;-3.62E-06
0.306;-4.53E-06
0.308;-4.09E-06
0.31;-1.25E-06
0.312;-4.80E-07
0.314;-3.99E-06
0.316;-2.58E-06
0.318;-2.53E-06
0.32;-6.70E-07
0.322;-3.47E-06
0.324;-2.90E-06
0.326;-6.45E-06
0.328;-9.58E-06
0.33;-1.48E-06
0.332;-9.30E-07
0.334;-4.20E-07
0.336;4.64E-06
0.338;1.50E-07
0.34;-1.62E-06
0.342;-2.48E-06
0.344;-3.04E-06
0.346;-5.14E-06
0.348;-2.80E-06
0.35;-5.86E-06
0.352;8.40E-07
0.354;2.02E-06
0.356;6.00E-08
0.358;-1.29E-06
0.36;-3.90E-06
0.362;-4.05E-06
0.364;-4.99E-06
0.366;-5.52E-06
0.368;-3.85E-06
0.37;-1.82E-06
0.372;-5.30E-07
0.374;-4.49E-06
