frequency	V(onoise)
1.000000000000000e-01	4.364039e-08
1.023292992280754e-01	4.314084e-08
1.047128548050900e-01	4.264701e-08
1.071519305237607e-01	4.215884e-08
1.096478196143185e-01	4.167625e-08
1.122018454301963e-01	4.119919e-08
1.148153621496883e-01	4.072758e-08
1.174897554939529e-01	4.026138e-08
1.202264434617413e-01	3.980051e-08
1.230268770812381e-01	3.934492e-08
1.258925411794167e-01	3.889454e-08
1.288249551693134e-01	3.844932e-08
1.318256738556407e-01	3.800919e-08
1.348962882591653e-01	3.757410e-08
1.380384264602884e-01	3.714400e-08
1.412537544622754e-01	3.671881e-08
1.445439770745927e-01	3.629849e-08
1.479108388168207e-01	3.588299e-08
1.513561248436207e-01	3.547224e-08
1.548816618912480e-01	3.506619e-08
1.584893192461112e-01	3.466479e-08
1.621810097358929e-01	3.426799e-08
1.659586907437559e-01	3.387573e-08
1.698243652461743e-01	3.348796e-08
1.737800828749374e-01	3.310462e-08
1.778279410038921e-01	3.272568e-08
1.819700858609982e-01	3.235107e-08
1.862087136662866e-01	3.198075e-08
1.905460717963245e-01	3.161467e-08
1.949844599758043e-01	3.125278e-08
1.995262314968878e-01	3.089503e-08
2.041737944669527e-01	3.054138e-08
2.089296130854037e-01	3.019177e-08
2.137962089502230e-01	2.984617e-08
2.187761623949550e-01	2.950453e-08
2.238721138568337e-01	2.916679e-08
2.290867652767770e-01	2.883292e-08
2.344228815319919e-01	2.850287e-08
2.398832919019487e-01	2.817660e-08
2.454708915685027e-01	2.785407e-08
2.511886431509577e-01	2.753523e-08
2.570395782768861e-01	2.722003e-08
2.630267991895379e-01	2.690845e-08
2.691534803926912e-01	2.660043e-08
2.754228703338163e-01	2.629594e-08
2.818382931264450e-01	2.599493e-08
2.884031503126602e-01	2.569737e-08
2.951209226666382e-01	2.540321e-08
3.019951720402012e-01	2.511242e-08
3.090295432513586e-01	2.482497e-08
3.162277660168375e-01	2.454080e-08
3.235936569296278e-01	2.425988e-08
3.311311214825907e-01	2.398218e-08
3.388441561392021e-01	2.370766e-08
3.467368504525312e-01	2.343628e-08
3.548133892335750e-01	2.316800e-08
3.630780547701009e-01	2.290280e-08
3.715352290971720e-01	2.264064e-08
3.801893963205606e-01	2.238147e-08
3.890451449942800e-01	2.212527e-08
3.981071705534966e-01	2.187201e-08
4.073802778041121e-01	2.162164e-08
4.168693834703348e-01	2.137414e-08
4.265795188015920e-01	2.112947e-08
4.365158322401653e-01	2.088760e-08
4.466835921509624e-01	2.064851e-08
4.570881896148742e-01	2.041214e-08
4.677351412871974e-01	2.017849e-08
4.786300923226375e-01	1.994751e-08
4.897788193684454e-01	1.971917e-08
5.011872336272715e-01	1.949345e-08
5.128613839913641e-01	1.927031e-08
5.248074602497718e-01	1.904972e-08
5.370317963702519e-01	1.883166e-08
5.495408738576236e-01	1.861610e-08
5.623413251903481e-01	1.840300e-08
5.754399373371559e-01	1.819234e-08
5.888436553555879e-01	1.798410e-08
6.025595860743567e-01	1.777823e-08
6.165950018614811e-01	1.757473e-08
6.309573444801921e-01	1.737355e-08
6.456542290346544e-01	1.717468e-08
6.606934480075949e-01	1.697808e-08
6.760829753919806e-01	1.678374e-08
6.918309709189353e-01	1.659161e-08
