Frec,PSD
"0,00E+00","1,07E-04"
"1,00E+00","6,83E-09"
"2,00E+00","5,50E-09"
"3,00E+00","5,22E-09"
"4,00E+00","5,87E-09"
"5,00E+00","6,43E-09"
"6,00E+00","5,96E-09"
"7,00E+00","6,05E-09"
"8,00E+00","8,53E-09"
"9,00E+00","5,33E-09"
"1,00E+01","6,00E-09"
"1,10E+01","5,94E-09"
"1,20E+01","6,00E-09"
"1,30E+01","5,04E-09"
"1,40E+01","5,37E-09"
"1,50E+01","7,02E-09"
"1,60E+01","7,57E-09"
"1,70E+01","5,95E-09"
"1,80E+01","5,64E-09"
"1,90E+01","7,29E-09"
"2,00E+01","5,35E-09"
"2,10E+01","5,64E-09"
"2,20E+01","5,40E-09"
"2,30E+01","5,67E-09"
"2,40E+01","6,93E-09"
"2,50E+01","5,54E-09"
"2,60E+01","5,11E-09"
"2,70E+01","6,94E-09"
"2,80E+01","4,60E-09"
"2,90E+01","4,80E-09"
"3,00E+01","4,69E-09"
"3,10E+01","8,61E-09"
"3,20E+01","5,08E-09"
"3,30E+01","5,81E-09"
"3,40E+01","4,96E-09"
"3,50E+01","5,06E-09"
"3,60E+01","5,21E-09"
"3,70E+01","5,76E-09"
"3,80E+01","6,60E-09"
"3,90E+01","6,38E-09"
"4,00E+01","4,36E-09"
"4,10E+01","5,57E-09"
"4,20E+01","6,25E-09"
"4,30E+01","5,89E-09"
"4,40E+01","6,94E-09"
"4,50E+01","6,14E-09"
"4,60E+01","5,38E-09"
"4,70E+01","6,08E-09"
"4,80E+01","4,73E-09"
"4,90E+01","5,73E-09"
"5,00E+01","1,98E-08"
"5,10E+01","4,73E-09"
"5,20E+01","5,80E-09"
"5,30E+01","4,85E-09"
"5,40E+01","6,36E-09"
"5,50E+01","5,31E-09"
"5,60E+01","4,89E-09"
"5,70E+01","4,97E-09"
"5,80E+01","5,00E-09"
"5,90E+01","6,91E-09"
"6,00E+01","4,99E-09"
"6,10E+01","5,74E-09"
"6,20E+01","7,73E-09"
"6,30E+01","5,39E-09"
"6,40E+01","5,21E-09"
