frequency	V(inoise)
1.000000000000000e-01	3.660418e-08
1.023292992280754e-01	3.618663e-08
1.047128548050900e-01	3.577387e-08
1.071519305237607e-01	3.536586e-08
1.096478196143185e-01	3.496254e-08
1.122018454301963e-01	3.456384e-08
1.148153621496883e-01	3.416973e-08
1.174897554939529e-01	3.378015e-08
1.202264434617413e-01	3.339505e-08
1.230268770812381e-01	3.301437e-08
1.258925411794167e-01	3.263807e-08
1.288249551693134e-01	3.226610e-08
1.318256738556407e-01	3.189840e-08
1.348962882591653e-01	3.153493e-08
1.380384264602884e-01	3.117564e-08
1.412537544622754e-01	3.082048e-08
1.445439770745927e-01	3.046941e-08
1.479108388168207e-01	3.012238e-08
1.513561248436207e-01	2.977933e-08
1.548816618912480e-01	2.944024e-08
1.584893192461112e-01	2.910505e-08
1.621810097358929e-01	2.877371e-08
1.659586907437559e-01	2.844619e-08
1.698243652461743e-01	2.812244e-08
1.737800828749374e-01	2.780242e-08
1.778279410038921e-01	2.748608e-08
1.819700858609982e-01	2.717339e-08
1.862087136662866e-01	2.686429e-08
1.905460717963245e-01	2.655876e-08
1.949844599758043e-01	2.625675e-08
1.995262314968878e-01	2.595822e-08
2.041737944669527e-01	2.566312e-08
2.089296130854037e-01	2.537143e-08
2.137962089502230e-01	2.508311e-08
2.187761623949550e-01	2.479810e-08
2.238721138568337e-01	2.451639e-08
2.290867652767770e-01	2.423792e-08
2.344228815319919e-01	2.396267e-08
2.398832919019487e-01	2.369059e-08
2.454708915685027e-01	2.342165e-08
2.511886431509577e-01	2.315582e-08
2.570395782768861e-01	2.289305e-08
2.630267991895379e-01	2.263332e-08
2.691534803926912e-01	2.237659e-08
2.754228703338163e-01	2.212283e-08
2.818382931264450e-01	2.187200e-08
2.884031503126602e-01	2.162406e-08
2.951209226666382e-01	2.137899e-08
3.019951720402012e-01	2.113676e-08
3.090295432513586e-01	2.089733e-08
3.162277660168375e-01	2.066066e-08
3.235936569296278e-01	2.042674e-08
3.311311214825907e-01	2.019552e-08
3.388441561392021e-01	1.996698e-08
3.467368504525312e-01	1.974108e-08
3.548133892335750e-01	1.951780e-08
3.630780547701009e-01	1.929711e-08
3.715352290971720e-01	1.907897e-08
3.801893963205606e-01	1.886337e-08
3.890451449942800e-01	1.865026e-08
3.981071705534966e-01	1.843963e-08
4.073802778041121e-01	1.823144e-08
4.168693834703348e-01	1.802566e-08
4.265795188015920e-01	1.782228e-08
4.365158322401653e-01	1.762125e-08
4.466835921509624e-01	1.742256e-08
4.570881896148742e-01	1.722618e-08
4.677351412871974e-01	1.703208e-08
4.786300923226375e-01	1.684024e-08
4.897788193684454e-01	1.665063e-08
5.011872336272715e-01	1.646323e-08
5.128613839913641e-01	1.627801e-08
5.248074602497718e-01	1.609494e-08
5.370317963702519e-01	1.591401e-08
5.495408738576236e-01	1.573519e-08
5.623413251903481e-01	1.555845e-08
5.754399373371559e-01	1.538378e-08
5.888436553555879e-01	1.521114e-08
6.025595860743567e-01	1.504051e-08
6.165950018614811e-01	1.487188e-08
6.309573444801921e-01	1.470522e-08
6.456542290346544e-01	1.454051e-08
6.606934480075949e-01	1.437773e-08
6.760829753919806e-01	1.421685e-08
6.918309709189353e-01	1.405785e-08
7.079457843841367e-01	1.390072e-08
7.244359600749888e-01	1.374542e-08
7.413102413009162e-01	1.359195e-08
7.585775750291823e-01	1.344028e-08
7.762471166286903e-01	1.329039e-08
7.943282347242799e-01	1.314226e-08
8.128305161640976e-01	1.299587e-08
8.317637711026693e-01	1.285120e-08
8.511380382023747e-01	1.270823e-08
8.709635899560788e-01	1.256695e-08
8.912509381337437e-01	1.242733e-08
9.120108393559078e-01	1.228936e-08
9.332543007969890e-01	1.215301e-08
9.549925860214339e-01	1.201827e-08
9.772372209558086e-01	1.188513e-08
9.999999999999978e-01	1.175356e-08
1.023292992280752e+00	1.162354e-08
1.047128548050897e+00	1.149507e-08
1.071519305237604e+00	1.136811e-08
1.096478196143182e+00	1.124266e-08
1.122018454301961e+00	1.111870e-08
1.148153621496880e+00	1.099621e-08
1.174897554939527e+00	1.087517e-08
1.202264434617410e+00	1.075558e-08
1.230268770812378e+00	1.063741e-08
1.258925411794164e+00	1.052064e-08
1.288249551693130e+00	1.040527e-08
1.318256738556403e+00	1.029127e-08
1.348962882591650e+00	1.017864e-08
1.380384264602881e+00	1.006735e-08
1.412537544622750e+00	9.957397e-09
1.445439770745923e+00	9.848757e-09
1.479108388168203e+00	9.741421e-09
1.513561248436204e+00	9.635372e-09
1.548816618912477e+00	9.530599e-09
1.584893192461108e+00	9.427084e-09
1.621810097358925e+00	9.324816e-09
1.659586907437555e+00	9.223780e-09
1.698243652461739e+00	9.123963e-09
1.737800828749370e+00	9.025352e-09
1.778279410038917e+00	8.927933e-09
1.819700858609977e+00	8.831694e-09
1.862087136662861e+00	8.736621e-09
1.905460717963241e+00	8.642703e-09
1.949844599758039e+00	8.549925e-09
1.995262314968873e+00	8.458276e-09
2.041737944669523e+00	8.367744e-09
2.089296130854033e+00	8.278315e-09
2.137962089502225e+00	8.189979e-09
2.187761623949545e+00	8.102724e-09
2.238721138568332e+00	8.016537e-09
2.290867652767766e+00	7.931408e-09
2.344228815319914e+00	7.847323e-09
2.398832919019482e+00	7.764274e-09
2.454708915685022e+00	7.682247e-09
2.511886431509572e+00	7.601232e-09
2.570395782768855e+00	7.521218e-09
2.630267991895373e+00	7.442195e-09
2.691534803926906e+00	7.364151e-09
2.754228703338157e+00	7.287077e-09
2.818382931264444e+00	7.210960e-09
2.884031503126595e+00	7.135792e-09
