Blue;;;Green;;;Red;;;;;;;;;
wavelength [nm];Photosensitivity [A/W];;wavelength [nm];Photosensitivity [A/W];;wavelength [nm];Photosensitivity [A/W];;;;;;;;
2.21E-07;0;;2.93E-07;-0.000430622;;2.97E-07;-0.000421053;;;;;;;;
2.43E-07;0;;3.06E-07;9.56938E-05;;3.28E-07;-0.000421053;;;;;;;;
2.65E-07;0;;3.22E-07;-0.000430622;;3.55E-07;0.000105263;;;;;;;;
2.93E-07;0.000526316;;3.38E-07;9.56938E-05;;3.84E-07;0.000105263;;;;;;;;
3.12E-07;0;;3.55E-07;0.00062201;;4.11E-07;0.000105263;;;;;;;;
3.33E-07;-0.000526316;;3.71E-07;-0.000430622;;4.36E-07;0.000105263;;;;;;;;
3.59E-07;0;;3.92E-07;0.00062201;;4.71E-07;0.000105263;;;;;;;;
3.74E-07;0.000526316;;4.16E-07;-0.000430622;;5.11E-07;0.000105263;;;;;;;;
3.83E-07;0.002368421;;4.37E-07;9.56938E-05;;5.45E-07;0.000105263;;;;;;;;
3.88E-07;0.007368421;;4.50E-07;-0.000430622;;5.72E-07;0.000105263;;;;;;;;
3.92E-07;0.012631579;;4.58E-07;0.00062201;;5.78E-07;0.003263158;;;;;;;;
3.95E-07;0.018421053;;4.68E-07;0.005358852;;5.81E-07;0.007473684;;;;;;;;
3.97E-07;0.023157895;;4.76E-07;0.012200957;;5.84E-07;0.012736842;;;;;;;;
4.00E-07;0.03;;4.83E-07;0.021674641;;5.88E-07;0.020105263;;;;;;;;
4.03E-07;0.037368421;;4.87E-07;0.027464115;;5.89E-07;0.028;;;;;;;;
4.05E-07;0.044210527;;4.90E-07;0.033253589;;5.92E-07;0.036421053;;;;;;;;
4.07E-07;0.052631579;;4.92E-07;0.037990431;;5.94E-07;0.046421053;;;;;;;;
4.09E-07;0.059473684;;4.93E-07;0.043253589;;5.95E-07;0.05431579;;;;;;;;
4.12E-07;0.069473684;;4.96E-07;0.049043062;;5.96E-07;0.062736842;;;;;;;;
4.14E-07;0.078421053;;4.99E-07;0.054832536;;5.96E-07;0.071684211;;;;;;;;
4.17E-07;0.088421053;;4.99E-07;0.061674641;;5.97E-07;0.081157895;;;;;;;;
4.19E-07;0.097368421;;5.02E-07;0.067990431;;5.98E-07;0.093263158;;;;;;;;
4.21E-07;0.105789474;;5.03E-07;0.07430622;;5.98E-07;0.103789474;;;;;;;;
4.24E-07;0.119473684;;5.06E-07;0.081148326;;5.99E-07;0.114842105;;;;;;;;
4.26E-07;0.129473684;;5.06E-07;0.087990431;;6.01E-07;0.127473684;;;;;;;;
4.28E-07;0.141052632;;5.08E-07;0.093253589;;6.01E-07;0.136421053;;;;;;;;
4.33E-07;0.151052632;;5.09E-07;0.101148326;;6.02E-07;0.146421053;;;;;;;;
4.35E-07;0.161578948;;5.10E-07;0.106411484;;6.02E-07;0.155894737;;;;;;;;
4.37E-07;0.172105263;;5.11E-07;0.112727273;;6.03E-07;0.168;;;;;;;;
4.40E-07;0.182631579;;5.12E-07;0.117990431;;6.04E-07;0.177473684;;;;;;;;
4.43E-07;0.193684211;;5.12E-07;0.123779905;;6.05E-07;0.183789474;;;;;;;;
4.46E-07;0.204210527;;5.13E-07;0.128516747;;6.06E-07;0.190631579;;;;;;;;
4.49E-07;0.212105263;;5.13E-07;0.13430622;;6.08E-07;0.196947369;;;;;;;;
4.52E-07;0.218421053;;5.16E-07;0.141148326;;6.09E-07;0.202736842;;;;;;;;
4.55E-07;0.225263158;;5.17E-07;0.146937799;;6.13E-07;0.208;;;;;;;;
4.58E-07;0.23;;5.18E-07;0.154832536;;6.19E-07;0.209578947;;;;;;;;
4.62E-07;0.234736842;;5.18E-07;0.163253589;;6.26E-07;0.206947369;;;;;;;;
4.69E-07;0.235263158;;5.19E-07;0.172727273;;6.30E-07;0.201157895;;;;;;;;
4.74E-07;0.232105263;;5.20E-07;0.183253589;;6.32E-07;0.195368421;;;;;;;;
4.77E-07;0.226842106;;5.20E-07;0.192200957;;6.35E-07;0.188;;;;;;;;
4.80E-07;0.220526316;;5.21E-07;0.20062201;;6.37E-07;0.180105263;;;;;;;;
4.83E-07;0.213157895;;5.22E-07;0.208516747;;6.38E-07;0.171157895;;;;;;;;
4.86E-07;0.204736842;;5.23E-07;0.217464115;;6.39E-07;0.162736842;;;;;;;;
4.88E-07;0.194210527;;5.23E-07;0.227464115;;6.41E-07;0.152736842;;;;;;;;
4.91E-07;0.185263158;;5.24E-07;0.236937799;;6.44E-07;0.143789474;;;;;;;;
4.93E-07;0.175263158;;5.25E-07;0.244832536;;6.46E-07;0.13431579;;;;;;;;
4.94E-07;0.165789474;;5.26E-07;0.25430622;;6.48E-07;0.124842105;;;;;;;;
4.97E-07;0.156842106;;5.27E-07;0.262727273;;6.51E-07;0.112210526;;;;;;;;
4.98E-07;0.14631579;;5.28E-07;0.270095694;;6.54E-07;0.101157895;;;;;;;;
5.00E-07;0.13631579;;5.30E-07;0.277464115;;6.58E-07;0.090631579;;;;;;;;
5.02E-07;0.125789474;;5.31E-07;0.285358852;;6.63E-07;0.078526316;;;;;;;;
5.04E-07;0.115789474;;5.32E-07;0.290095694;;6.69E-07;0.066421053;;;;;;;;
5.06E-07;0.10631579;;5.34E-07;0.294832536;;6.76E-07;0.05431579;;;;;;;;
5.07E-07;0.096842106;;5.37E-07;0.298516747;;6.85E-07;0.042736842;;;;;;;;
5.10E-07;0.087894737;;5.44E-07;0.299043062;;6.95E-07;0.033789474;;;;;;;;
5.13E-07;0.079473684;;5.47E-07;0.295885168;;7.02E-07;0.027473684;;;;;;;;
5.15E-07;0.070526316;;5.49E-07;0.292200957;;7.11E-07;0.021157895;;;;;;;;
5.17E-07;0.062105263;;5.51E-07;0.287464115;;7.21E-07;0.016421053;;;;;;;;
5.19E-07;0.054210527;;5.54E-07;0.282200957;;7.30E-07;0.012210526;;;;;;;;
5.22E-07;0.044210527;;5.55E-07;0.275885168;;7.38E-07;0.009052632;;;;;;;;
5.25E-07;0.034736842;;5.57E-07;0.269569378;;7.48E-07;0.005894737;;;;;;;;
5.28E-07;0.02631579;;5.58E-07;0.263253589;;7.59E-07;0.003789474;;;;;;;;
5.33E-07;0.017368421;;5.59E-07;0.256411484;;7.69E-07;0.002210526;;;;;;;;
5.38E-07;0.008947369;;5.60E-07;0.249569378;;7.81E-07;0.001157895;;;;;;;;
5.43E-07;0.003684211;;5.61E-07;0.243253589;;7.96E-07;0.000105263;;;;;;;;
5.48E-07;0.001052632;;5.62E-07;0.236411484;;8.14E-07;0.000105263;;;;;;;;
5.54E-07;0;;5.63E-07;0.227990431;;8.32E-07;0.000105263;;;;;;;;
5.63E-07;-0.000526316;;5.64E-07;0.221148326;;8.53E-07;0.000105263;;;;;;;;
5.85E-07;-0.000526316;;5.65E-07;0.214832536;;8.75E-07;0.000105263;;;;;;;;
6.16E-07;0;;5.65E-07;0.207464115;;8.95E-07;0.000105263;;;;;;;;
6.37E-07;0;;5.66E-07;0.20062201;;9.12E-07;0.000105263;;;;;;;;
6.67E-07;-0.000526316;;5.66E-07;0.192727273;;;;;;;;;;;
6.99E-07;-0.000526316;;5.67E-07;0.183779905;;;;;;;;;;;
7.34E-07;-0.000526316;;5.68E-07;0.173253589;;;;;;;;;;;
7.60E-07;-0.000526316;;5.69E-07;0.161674641;;;;;;;;;;;
7.89E-07;0.000526316;;5.71E-07;0.152200957;;;;;;;;;;;
8.16E-07;0.000526316;;5.72E-07;0.139569378;;;;;;;;;;;
8.44E-07;-0.000526316;;5.73E-07;0.127990431;;;;;;;;;;;
8.69E-07;-0.000526316;;5.74E-07;0.119043062;;;;;;;;;;;
8.92E-07;-0.000526316;;5.75E-07;0.109569378;;;;;;;;;;;
9.10E-07;0;;5.77E-07;0.097464115;;;;;;;;;;;
;;;5.78E-07;0.087990431;;;;;;;;;;;
;;;5.80E-07;0.075885168;;;;;;;;;;;
;;;5.82E-07;0.066937799;;;;;;;;;;;
;;;5.84E-07;0.056411484;;;;;;;;;;;
;;;5.87E-07;0.046937799;;;;;;;;;;;
;;;5.90E-07;0.037990431;;;;;;;;;;;
;;;5.94E-07;0.028516747;;;;;;;;;;;
;;;6.01E-07;0.016411484;;;;;;;;;;;
;;;6.10E-07;0.006411484;;;;;;;;;;;
;;;6.15E-07;0.001674641;;;;;;;;;;;
;;;6.24E-07;-0.000956938;;;;;;;;;;;
;;;6.35E-07;-0.000956938;;;;;;;;;;;
;;;6.43E-07;-0.000956938;;;;;;;;;;;
;;;6.56E-07;-0.001220095;;;;;;;;;;;
;;;6.75E-07;-0.000956938;;;;;;;;;;;
;;;6.97E-07;-0.000956938;;;;;;;;;;;
;;;7.16E-07;-0.001483253;;;;;;;;;;;
;;;7.39E-07;-0.001483253;;;;;;;;;;;
;;;7.63E-07;-0.000956938;;;;;;;;;;;
;;;7.82E-07;-0.000956938;;;;;;;;;;;
;;;8.07E-07;-0.000956938;;;;;;;;;;;
