,A(x),B(Y)
,-105,"-2,64E-06"
,"-104,998","-1,00E-06"
,"-104,996","1,15E-06"
,"-104,994","3,94E-06"
,"-104,992","3,92E-06"
,"-104,99","8,00E-08"
,"-104,988","7,00E-07"
,"-104,986","7,70E-07"
,"-104,984","-1,86E-06"
,"-104,982","-9,50E-07"
,"-104,98","-2,21E-06"
,"-104,978","-1,49E-06"
,"-104,976","-2,25E-06"
,"-104,974","1,34E-06"
,"-104,972","2,69E-06"
,"-104,97","2,55E-06"
,"-104,968","-7,60E-07"
,"-104,966","1,18E-06"
,"-104,964","-3,28E-06"
,"-104,962","-5,62E-06"
,"-104,96","-7,02E-06"
,"-104,958","-4,48E-06"
,"-104,956","-2,82E-06"
,"-104,954","-1,55E-06"
,"-104,952","4,80E-07"
,"-104,95","2,25E-06"
,"-104,948","1,35E-06"
,"-104,946","4,20E-07"
,"-104,944","-6,60E-07"
,"-104,942","-2,78E-06"
,"-104,94","-3,38E-06"
,"-104,938","-2,35E-06"
,"-104,936","-2,15E-06"
,"-104,934","8,10E-07"
,"-104,932","-1,77E-06"
,"-104,93","-8,30E-07"
,"-104,928","-1,26E-06"
,"-104,926","-1,42E-06"
,"-104,924","-1,54E-06"
,"-104,922","-3,44E-06"
,"-104,92","-1,16E-06"
,"-104,918","-2,37E-06"
,"-104,916","1,00E-08"
,"-104,914","7,90E-07"
,"-104,912","-3,80E-07"
,"-104,91","-2,53E-06"
,"-104,908","-1,05E-06"
,"-104,906","-2,47E-06"
,"-104,904","-2,32E-06"
,"-104,902","-3,83E-06"
,"-104,9","-3,46E-06"
,"-104,898","-1,18E-06"
,"-104,896","-4,70E-06"
,"-104,894","6,20E-07"
,"-104,892","-7,40E-07"
,"-104,89","4,30E-07"
,"-104,888","9,00E-07"
,"-104,886","1,25E-06"
,"-104,884","9,00E-08"
,"-104,882","1,66E-06"
,"-104,88","-5,20E-07"
,"-104,878","-1,79E-06"
,"-104,876","-4,10E-07"
,"-104,874","1,00E-07"
,"-104,872","1,92E-06"
,"-104,87","4,80E-07"
,"-104,868","-6,10E-07"
,"-104,866","1,12E-06"
,"-104,864","-1,05E-06"
,"-104,862","-4,42E-06"
,"-104,86","-2,90E-06"
,"-104,858","-1,04E-06"
,"-104,856","-3,09E-06"
,"-104,854","-8,30E-07"
,"-104,852","2,34E-06"
,"-104,85","1,23E-06"
,"-104,848","1,38E-06"
,"-104,846","3,60E-07"
,"-104,844","-1,64E-06"
,"-104,842","-2,74E-06"
,"-104,84","-2,84E-06"
,"-104,838","-1,26E-06"
,"-104,836","-1,41E-06"
,"-104,834","1,53E-06"
,"-104,832","2,71E-06"
,"-104,83","1,85E-06"
,"-104,828","2,35E-06"
,"-104,826","1,16E-06"
,"-104,824","-4,00E-07"
,"-104,822","-1,06E-06"
,"-104,82","-8,90E-07"
,"-104,818","-2,94E-06"
,"-104,816","-1,32E-06"
,"-104,814","1,37E-06"
,"-104,812","-1,09E-06"
,"-104,81","-3,60E-07"
,"-104,808","-2,10E-07"
,"-104,806","-3,60E-06"
,"-104,804","-6,27E-06"
,"-104,802","-6,46E-06"
,"-104,8","-4,21E-06"
,"-104,798","-3,47E-06"
,"-104,796","-3,52E-06"
,"-104,794","1,18E-06"
,"-104,792","-1,50E-07"
,"-104,79","-3,56E-06"
,"-104,788","-2,09E-06"
,"-104,786","-2,01E-06"
,"-104,784","-2,93E-06"
,"-104,782","-1,49E-06"
,"-104,78","-2,16E-06"
,"-104,778","-1,45E-06"
,"-104,776","1,71E-06"
,"-104,774","3,20E-07"
,"-104,772","-8,10E-07"
,"-104,77","1,01E-06"
,"-104,768","-2,60E-06"
,"-104,766","-7,60E-07"
,"-104,764","-3,68E-06"
,"-104,762","-2,89E-06"
,"-104,76","-2,51E-06"
,"-104,758","-2,45E-06"
,"-104,756","-4,00E-07"
,"-104,754","1,74E-06"
,"-104,752","1,87E-06"
,"-104,75","-1,66E-06"
,"-104,748","-1,40E-07"
,"-104,746","-1,80E-06"
,"-104,744","-2,31E-06"
,"-104,742","-5,48E-06"
,"-104,74","-2,79E-06"
,"-104,738","-3,02E-06"
,"-104,736","-2,85E-06"
,"-104,734","-1,65E-06"
,"-104,732","-2,80E-06"
,"-104,73","-1,16E-06"
,"-104,728","-3,90E-07"
,"-104,726","4,50E-07"
