0 min;2 min ;4 min ;6 min ;8 min ;10 min ;12 min ;14 min ;16 min ;18 min ;;;;;
promedio;promedio;promedio;promedio;promedio;promedio;promedio;promedio;promedio;promedio;Wavelength;;;;
0.677129174;0.686541702;0.698232404;0.70849103;0.71946549;0.725574927;0.731155864;0.737351533;0.738482982;0.740207658;400;;;;
0.678690118;0.688124344;0.699841996;0.710124271;0.720569921;0.726684439;0.731712529;0.737351533;0.739053927;0.741337784;403;;;;
0.679732752;0.689710635;0.701455298;0.710670776;0.721124029;0.72724755;0.732841352;0.737919855;0.740185361;0.741914012;406;;;;
0.681299698;0.690239804;0.701455298;0.711761276;0.722231006;0.728359619;0.732841352;0.739051304;0.740185361;0.743046744;409;;;;
0.682870256;0.691300582;0.70307232;0.712856807;0.722786392;0.728924029;0.734530726;0.739051304;0.741891665;0.743046744;412;;;;
0.684444434;0.692894194;0.704152819;0.713402055;0.723895921;0.730038662;0.734530726;0.740754993;0.741891665;0.743624301;415;;;;
0.68496996;0.693958643;0.704693069;0.715046617;0.724452586;0.730038662;0.735089961;0.740754993;0.743601902;0.744759644;418;;;;
0.686022241;0.69449148;0.705776059;0.715046617;0.725004149;0.731159758;0.736223994;0.741890348;0.743601902;0.745338532;421;;;;
0.687603686;0.695558383;0.706317554;0.71669497;0.725564673;0.732288589;0.736784518;0.74246261;0.744741178;0.746476492;424;;;;
0.687603686;0.696092449;0.707945784;0.71669497;0.726675456;0.732288589;0.737921165;0.74246261;0.745316081;0.746476492;427;;;;
0.689188776;0.697161811;0.707945784;0.71669497;0.727237272;0.733408367;0.737921165;0.744174163;0.745316081;0.747056715;430;;;;
0.689717945;0.697697107;0.708489779;0.718347122;0.727796508;0.733976689;0.738482982;0.744174163;0.745889662;0.747056715;433;;;;
0.69077752;0.698768935;0.709577768;0.718347122;0.728350616;0.734534638;0.739053927;0.744174163;0.747034212;0.748197298;436;;;;
0.69077752;0.699305465;0.709577768;0.718347122;0.728913727;0.734534638;0.739622249;0.744741178;0.747034212;0.748197298;439;;;;
0.69130791;0.699305465;0.710668265;0.720003083;0.728913727;0.73566868;0.740185361;0.745889662;0.747609115;0.748778858;442;;;;
0.69130791;0.699841996;0.711213514;0.720003083;0.728913727;0.73566868;0.740185361;0.745889662;0.747609115;0.749352439;445;;;;
0.691835862;0.700379763;0.711213514;0.720003083;0.728913727;0.736227915;0.740757623;0.745889662;0.748178747;0.749922071;448;;;;
0.691835862;0.699841996;0.711213514;0.720003083;0.729474252;0.73566868;0.740757623;0.745889662;0.748178747;0.749922071;451;;;;
0.691835862;0.700917531;0.711213514;0.720003083;0.729474252;0.73566868;0.741327255;0.74646589;0.748178747;0.749922071;454;;;;
0.69130791;0.699841996;0.711213514;0.720003083;0.729474252;0.736227915;0.740757623;0.745889662;0.748178747;0.749922071;457;;;;
0.69077752;0.700379763;0.711213514;0.720003083;0.729474252;0.73566868;0.740185361;0.745889662;0.748178747;0.749922071;460;;;;
0.690244683;0.699841996;0.710123017;0.720003083;0.728913727;0.73566868;0.740757623;0.745889662;0.748178747;0.749922071;463;;;;
0.689188776;0.699305465;0.709577768;0.718897416;0.728913727;0.734534638;0.740185361;0.744749066;0.747609115;0.748778858;466;;;;
0.687603686;0.697697107;0.709577768;0.718347122;0.727796508;0.733976689;0.739053927;0.744174163;0.746457984;0.748197298;469;;;;
0.685493072;0.696626514;0.707945784;0.71779556;0.727237272;0.733413577;0.738482982;0.743601902;0.745889662;0.747628976;472;;;;
0.683394573;0.695024318;0.706317554;0.716144676;0.725564673;0.732288589;0.736784518;0.74246261;0.744741178;0.746476492;475;;;;
0.680774171;0.692894194;0.704693069;0.715046617;0.723895921;0.730604372;0.735658283;0.740754993;0.743028321;0.745330589;478;;;;
0.676609663;0.690239804;0.702533313;0.711761276;0.722231006;0.727800384;0.733966316;0.738482982;0.741319403;0.743046744;481;;;;
0.674018048;0.687596392;0.699841996;0.710124271;0.720569921;0.726689601;0.73227824;0.736784518;0.739614416;0.742482334;484;;;;
0.669378141;0.683911647;0.697161811;0.70740554;0.717814588;0.725018261;0.730038662;0.735089961;0.737351533;0.740207658;487;;;;
0.664770174;0.68024745;0.693425806;0.704155307;0.715065558;0.721687105;0.727237272;0.732841352;0.735655672;0.737371122;490;;;;
0.659178555;0.675564659;0.690239804;0.700381;0.71178013;0.718922816;0.723895921;0.729474252;0.732840051;0.735112104;493;;;;
0.652636751;0.670399357;0.685488226;0.696094908;0.707965803;0.714527895;0.720569921;0.726122622;0.72891114;0.730610863;496;;;;
0.645664499;0.664763128;0.679725541;0.691303024;0.703092201;0.710148126;0.716163661;0.722786392;0.725562098;0.727819722;499;;;;
0.639251162;0.659680413;0.674528028;0.686544128;0.698788679;0.706348761;0.712873187;0.718912656;0.721122749;0.723912582;502;;;;
0.63242191;0.653130553;0.669884609;0.681293674;0.693445414;0.701486291;0.707965803;0.714512724;0.717256657;0.719488438;505;;;;
0.625182637;0.646646487;0.66374307;0.676603681;0.688148658;0.696657293;0.703092201;0.709594053;0.712868125;0.715626024;508;;;;
0.61802623;0.640226416;0.65816319;0.670916476;0.683411476;0.691861538;0.698252148;0.705254491;0.708507281;0.711252522;511;;;;
0.612360132;0.635330932;0.653130553;0.666297919;0.679749576;0.687632862;0.695043971;0.702014141;0.705251985;0.707984614;514;;;;
0.60674598;0.628540967;0.647142616;0.661202301;0.674034719;0.682899231;0.690259322;0.697181509;0.700397065;0.704197655;517;;;;
0.6011833;0.624214121;0.642687717;0.657155969;0.670423062;0.679761594;0.68656596;0.693978251;0.6977168;0.70042563;520;;;;
0.596132505;0.618491292;0.637774164;0.651629546;0.665807903;0.675082148;0.682357989;0.689200939;0.693440489;0.696136771;523;;;;
0.593393525;0.61517796;0.633869711;0.648139451;0.662245762;0.67146568;0.679222838;0.686034348;0.69025442;0.692938313;526;;;;
0.591571043;0.611411481;0.630473624;0.645161521;0.65920302;0.668892958;0.676626411;0.683411476;0.687613378;0.691344599;529;;;;
0.589308633;0.6086023;0.627576861;0.642197273;0.656174257;0.66633799;0.674034719;0.681839673;0.685502742;0.68870469;532;;;;
0.589308633;0.605806026;0.624693407;0.639246644;0.65315941;0.663276445;0.671458519;0.678706904;0.682879881;0.686585416;535;;;;
0.589308633;0.604412711;0.623256652;0.637287096;0.651657185;0.661750951;0.668881132;0.676621604;0.680783774;0.68396368;538;;;;
0.591124844;0.603949697;0.621346118;0.635332055;0.649659996;0.65921005;0.667342748;0.674547101;0.679218015;0.681858995;541;;;;
0.592487527;0.603486682;0.620393048;0.634846101;0.649167282;0.659224046;0.666836231;0.674034719;0.67870208;0.681858995;544;;;;
0.596137793;0.603949697;0.620393048;0.633385996;0.64816582;0.657707872;0.665807903;0.672995686;0.677655857;0.680290763;547;;;;
0.60072985;0.605341945;0.620393048;0.633874192;0.647674239;0.657707872;0.66530255;0.672484482;0.677141109;0.680290763;550;;;;
0.605363366;0.607202553;0.621346118;0.634359028;0.64816582;0.65719549;0.664792521;0.672484482;0.6766192;0.680290763;553;;;;
0.610964724;0.609537974;0.622778469;0.634846101;0.649167282;0.658206291;0.665807903;0.672995686;0.677664221;0.680290763;556;;;;
0.616617911;0.61282093;0.624693407;0.636309573;0.649659996;0.659224046;0.666836231;0.674034719;0.678178969;0.681858995;559;;;;
0.62375801;0.616596092;0.627576861;0.639246644;0.652163703;0.660743714;0.668368749;0.674547101;0.679742333;0.681858995;562;;;;
0.631461178;0.621346118;0.630473624;0.641704559;0.654163224;0.662768759;0.669909499;0.676102093;0.6813093;0.68395516;565;;;;
0.6382872;0.625653083;0.633869711;0.64367769;0.656684285;0.664805455;0.671968547;0.678706904;0.682879881;0.685006313;568;;;;
0.646169798;0.630474739;0.637774164;0.647642178;0.65920302;0.667362853;0.674553089;0.680788609;0.684454081;0.687632862;571;;;;
0.654660497;0.63630845;0.642195004;0.651131127;0.662748793;0.67044326;0.676626411;0.683411476;0.687613378;0.68975455;574;;;;
0.662241108;0.64170229;0.646646487;0.654640802;0.665807903;0.673537885;0.679749576;0.68550761;0.68919849;0.692938313;577;;;;
0.670419527;0.647639888;0.650629258;0.65867087;0.669400643;0.676646795;0.682887158;0.688671769;0.692379686;0.695595276;580;;;;
0.678182619;0.653632426;0.655642236;0.663236558;0.673517595;0.679770055;0.686039222;0.691850534;0.695575565;0.697741532;583;;;;
0.687093968;0.660694616;0.661708818;0.667833894;0.677671448;0.683949159;0.689730153;0.695043971;0.698786196;0.702031539;586;;;;
0.693979522;0.666295565;0.666806769;0.672463098;0.681316561;0.687106124;0.692913802;0.698252148;0.702011647;0.70527197;589;;;;
0.702015426;0.672460722;0.671944787;0.677124389;0.686039222;0.691868917;0.697186462;0.703092201;0.705788516;0.708527357;592;;;;
0.710144382;0.679725541;0.678162216;0.681817991;0.690794618;0.696123228;0.700937366;0.706337527;0.709046288;0.711797771;595;;;;
0.717261772;0.685488226;0.682863012;0.68707208;0.695043971;0.700948523;0.705796032;0.710143081;0.713418419;0.71508328;598;;;;
0.723346951;0.690770193;0.688124344;0.691303024;0.698793643;0.704183955;0.709053838;0.713963696;0.716159846;0.718383955;601;;;;
0.731155899;0.697697107;0.693958643;0.696630205;0.703637449;0.709065125;0.713415931;0.717259203;0.720567363;0.72224763;604;;;;
0.737921202;0.70361257;0.699305465;0.701459015;0.708514831;0.712338021;0.717264295;0.721676898;0.723893351;0.726138039;607;;;;
0.744749102;0.710123017;0.704693069;0.70740554;0.712873187;0.717275712;0.721676898;0.725564673;0.72891114;0.730043848;610;;;;
0.749911456;0.715594382;0.709577768;0.711217282;0.717814588;0.721134271;0.725008007;0.728913727;0.732275641;0.732856912;613;;;;
0.757427858;0.722215695;0.715594382;0.717246532;0.722790241;0.726132935;0.730033523;0.733403204;0.735655672;0.737371122;616;;;;
0.763262342;0.727221856;0.720554645;0.721662862;0.72612649;0.730043848;0.733403204;0.73678844;0.739051304;0.74019977;619;;;;
0.768553024;0.732824533;0.725549292;0.726109804;0.731159758;0.734541159;0.737350256;0.741322032;0.743028321;0.744764878;622;;;;
0.773880379;0.738471245;0.730578559;0.731142957;0.735658283;0.738497357;0.741895613;0.744743819;0.746457984;0.748770879;625;;;;
0.779244661;0.743590083;0.735642688;0.735645287;0.740189301;0.743616376;0.74588837;0.749335192;0.751059922;0.752227048;628;;;;
0.784646127;0.748169501;0.740741919;0.740174904;0.744176804;0.747048754;0.749331234;0.752793966;0.754526657;0.755699171;631;;;;
0.790085034;0.75451334;0.745876497;0.745305552;0.749335192;0.751067919;0.753950447;0.756844933;0.75858695;0.759187319;634;;;;
0.794338071;0.758577575;0.749319306;0.749321954;0.752793966;0.754534691;0.758008081;0.760338371;0.762088429;0.762691569;637;;;;
0.799233788;0.763835784;0.755092228;0.753935783;0.757430524;0.759764876;0.762091131;0.763847933;0.765606069;0.766794894;640;;;;
0.802922883;0.76854079;0.759743376;0.757415793;0.760922615;0.762680782;0.765021843;0.767373695;0.769139946;0.770334258;643;;;;
0.80786389;0.772680585;0.763835784;0.762665948;0.765608784;0.766794894;0.769142674;0.771504025;0.772690135;0.773290728;646;;;;
0.81159282;0.777440073;0.76795114;0.766186254;0.769142674;0.770334258;0.772692875;0.774474116;0.77625671;0.776860076;649;;;;
0.815338962;0.781028573;0.772088213;0.769722809;0.772692875;0.773290728;0.775664357;0.777448314;0.779239136;0.780445899;652;;;;
0.819102396;0.785235635;0.776247117;0.774465901;0.776259463;0.778054445;0.779842514;0.781036852;0.78283594;0.783451796;655;;;;
0.822883201;0.788860118;0.779232257;0.778040673;0.779842514;0.780445899;0.782236715;0.784641954;0.785245339;0.785855692;658;;;;
0.826681457;0.793719267;0.78403164;0.782229799;0.783442104;0.784646127;0.785847356;0.788263697;0.789471864;0.789483037;661;;;;
0.828587154;0.797382908;0.786442405;0.78463641;0.786450741;0.787667276;0.789474662;0.790684217;0.791291785;0.792513936;664;;;;
0.832411739;0.801063461;0.790678628;0.788864297;0.790080832;0.791302983;0.793118712;0.79433385;0.794944222;0.795561642;667;;;;
0.834968314;0.802910103;0.793719267;0.791287593;0.793118712;0.793731901;0.794947039;0.796164979;0.796776758;0.79800738;670;;;;
0.838822353;0.806616167;0.797994687;0.79494001;0.796779581;0.797395601;0.798616348;0.799839909;0.800454512;0.801076212;673;;;;
0.840756038;0.810339338;0.800448858;0.798609287;0.799229537;0.799846977;0.801069128;0.802302594;0.803530379;0.803538903;676;;;;
0.844636791;0.814079695;0.804143562;0.80167948;0.802918613;0.802922883;0.804766695;0.805384135;0.806002998;0.806629007;679;;;;
0.845931359;0.815956342;0.806616167;0.804144982;0.804769532;0.805391251;0.806621874;0.807240737;0.807861026;0.809108768;682;;;;
0.849186478;0.819722626;0.809717619;0.807856747;0.808484179;0.80786389;0.809726208;0.810966791;0.811589943;0.811601429;685;;;;
0.851144055;0.821612281;0.812830516;0.809719049;0.810347928;0.810973957;0.812213109;0.812836262;0.813460852;0.813463734;688;;;;
0.853106145;0.823506293;0.815330313;0.812831953;0.812836262;0.813463734;0.814710043;0.815333196;0.815959225;0.81659536;691;;;;
0.855072758;0.827307426;0.817837316;0.815331753;0.815336072;0.815964991;0.817212733;0.817840205;0.817840205;0.818477806;694;;;;
0.857043904;0.829214566;0.820351544;0.817211287;0.818470574;0.818470574;0.819096603;0.819725522;0.82035589;0.820990622;697;;;;
0.859019594;0.831126103;0.822874472;0.820352994;0.820357344;0.820990622;0.820984816;0.822248463;0.822247006;0.822883201;700;;;;
;;;;;;;;;;;;;;
